Gene Symbol,GSM155932,GSM155933,GSM155934,GSM155935,GSM155983,GSM155987,GSM155991,GSM155993
ATG12,7.649672935808541,6.75858301065338,7.6499171864322495,6.6957711578056704,5.24912293629827,6.71178396734496,6.87719209262611,5.06497336199806
FGL2,7.24474438048613,6.98699108236818,6.93793283896709,6.674545393845871,6.6285928096377695,5.601845056511039,6.692008657619049,7.3440029000934
POLA1,4.7258447476667405,4.487171175583191,4.66504024100796,4.49781671697632,4.5475732155063096,4.8461221892168895,4.10564455763894,5.5412360368580496
GLDC,10.842295337652303,10.6504863454256,10.7192775768221,11.240827101017098,9.80040489944731,9.32126520458368,9.52934270129967,6.8476086290824005
MTMR9,5.3399176832866395,5.07995831542008,3.49916981411525,4.44738744156861,4.7008724617450595,5.08785316474943,5.4721335528475095,5.37560596898998
MLH3,6.3539001832406905,6.966407394337749,6.67711354719704,7.27899762464578,7.01119370398566,7.5213962888389005,7.43525353792935,6.626307711122499
POP5,8.89473592744471,8.75976504136562,9.78443527529782,8.84413139627566,8.854784249562789,9.17889387155711,8.955647001795251,8.97583364127189
EEA1,5.3305942518477805,5.272347982903071,6.328448745275081,6.35676006440924,6.513647071191301,6.0216485057504405,6.32433718643759,6.19902053128157
PRKAR2A,8.89021258839086,8.67179933111805,9.006382186137472,9.59118009834075,8.97056322292624,8.961553877239131,8.253488243464549,8.7201655792342
ENPEP,10.5202945533633,9.61582455773772,10.306995833958801,9.44781059103621,8.892849385229221,9.44662430179362,9.37402440782301,9.44814935173199
ZBTB11,8.29636562995839,7.868057028991609,8.886385530233081,7.968718625618861,8.174076788659839,8.09220743809709,8.28620195306563,8.12334546075328
TCFL5,5.87539673485442,5.89224043372321,6.23158984900696,6.76810490818521,5.99605198790975,7.46608870053875,6.74897102398335,7.6858490663385
DCX,2.61912185968332,2.5889220689740697,2.51338715080634,2.5220909119124197,2.48120592812398,2.6394174091459,2.9655774450744103,2.50963250889091
ORC2,7.6346803850812,5.60719417610223,6.693835392482519,7.519675562799231,6.2645345544433795,5.3819996962564005,5.36291868856434,5.14516386216334
P3H3,2.5929305821215003,2.59102589178796,2.5343480206897597,2.57072521537198,2.55746645870316,2.56799074529868,2.5634315086361097,2.9677053673321003
B3GNT3,4.77261413506541,5.20645568644288,4.5994725299174,4.087428895085299,5.53986292264378,4.50739506932116,4.499035837522309,4.3812210666700695
MAD1L1,7.86983440087136,7.10285755883216,5.56559108337919,9.49079272663694,4.39957444504781,5.598362227498901,7.07979409008489,6.46928038601851
TYMP,8.04790368391813,7.68789352588259,6.5931998713166795,7.48189628066941,7.76127197412037,8.3116802082027,8.52624491115403,7.42742180173738
APAF1,7.122558839147071,6.896974131781,7.420532929909201,6.82528955217726,7.3731609672084595,7.3726474426386295,7.397520623181929,7.00860789730539
NAIP,5.524060540570741,4.11459190792119,5.35358794919542,5.219129789874071,4.7237824294036,4.85714000708514,3.4790106214176806,3.09548226324274
NME3,6.387865686737309,5.98112884148321,6.26971018622467,7.14718456931304,7.2209296631874,6.3156694729301295,6.85410788568176,6.846393020852361
IL6ST,8.235731845840741,8.27509553654022,8.64434301720352,9.31588544344588,9.163408158462051,9.932958795794061,9.74736725764166,8.96841336342508
CA3,3.3177627979196798,3.3033789290490603,3.3448994940221803,3.3020952805888397,3.7125077414501804,3.28511661095972,3.2473609545800097,3.3020952805888397
JADE3,6.677564618460621,7.243859457848001,6.86267454792904,7.0221347434657195,7.351849140084091,7.99835348676329,8.12173553230375,7.450683401144401
GCHFR,7.9516693823578395,8.5894077121488,8.346487139463559,8.608214156073709,7.127024462729469,8.90125006725754,7.83389575348279,7.948343867913049
MRPL58,8.49833066040088,8.08989004218992,8.32744485894686,8.27591962112212,7.97956238417641,8.4855435583745,8.53906960946349,8.25488216780388
PCSK2,2.8096881393005098,2.27488184952278,2.22341328205694,2.21820769488972,2.1989466928651598,2.23417939136288,2.2088356039405896,2.25596292578798
MTERF1,6.5562914545889495,6.73637486996173,5.8873912303472995,7.02705449998757,6.2598957623821,5.54324221405591,6.25769709318817,6.52770688061398
TLE4,6.394635893365459,6.506419461258889,5.745121675206901,6.1655200674284805,6.515843312295799,6.2820412666217,6.596957498025611,6.9337142571320305
PEX1,7.2399421576124405,7.26056204903997,7.44902480357606,8.432629586857612,7.16267329394895,6.991657889488209,7.65309585467219,7.5987001713717595
BAIAP3,2.55236723338631,2.5530876680842702,2.44692051079673,2.53741286971289,2.5645757176737,2.54529874393867,2.52544751754234,2.5587035609177797
GMDS,7.05476166962829,7.87388085385596,9.21953398918607,10.786212441547502,7.01486853685061,7.11505405730211,7.37164597924741,6.74146698640115
ZNF646,3.96651352693784,4.22151365552623,4.17241550697304,4.156420887844391,4.43929068104202,4.689047505732639,3.9427115429132997,4.0836133521294204
TAOK2,4.76259863434845,4.52064225060267,4.4609784074608605,4.458887226445981,4.41883759826866,4.441689298600269,4.44447492438088,3.6006979305758398
PDPN,2.49315029730394,3.21475895429657,2.4711094044409503,2.46049619700779,2.31825898774229,2.71572427765818,2.45456810548982,2.47356614030654
MGMT,8.66307771886997,9.10705749396886,7.92288168172582,9.181885223159599,8.69696752623429,8.85247645095813,9.292655231838609,9.35395838889469
UGCG,7.614437472913481,9.180083197875641,9.7921688419769,9.011858995147788,10.8509993947165,10.6292017770753,10.5882742653475,10.0636512380395
HUS1,7.1657813269264805,6.30270471740554,6.997337575841169,8.1260074750555,5.630600590247281,6.78467410203134,7.4168312991502905,6.0998485241144005
MSLN,3.6041425075232594,3.1437166663366605,3.0951598421673103,3.09943323856653,3.07418171846808,2.97279373100766,3.0783468194393997,3.09676110919318
PLK4,3.71885477091871,3.5365005637225,4.8094761844999905,4.49983951051645,3.64299031296116,3.66282073600438,3.59781718206395,3.68176408257033
